artist,song,album,label,year,isrc,position,spin_id,playlist_id,show,date,playlist_url
Beyondbliss,dance without somebody (feat. Lyla Abukhodair),Born Deaf,Beyondbliss,2023,USHM82319129,3,428997922,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Just Dave,One More Time,One More Time,Juice Box Records,2019,QZFZ31986873,4,428998141,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Outkast,Ms. Jackson (Acappella),Stankonia,SME - LaFace/Legacy,2020,USLF20000498,5,428998129,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Atmosphere,Grateful,Jestures,Rhymesayers,2025,USBWK2400203,6,428998152,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Brother Ali,Mysterious Things,Satisfied Soul,Mello Music Group,2025,USA2B2404870,7,428998544,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Dem Atlas,Bad Loves Company,Bad Loves Company,Rhymesayers,2018,USBWK1800143,8,428998849,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Nur-D,Drive,CHUNKADELIC,DISTROKID,2025,QZTBF2535221,9,428999204,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Heiruspecs,On the Ground (feat. Chastity Brown),Night Falls,Heiruspecs,2014,USSHL1300022,10,428999514,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Dessa,Call Off Your Ghost,Call Off Your Ghost,"Doomtree Records, LLC",2013,USQY51336923,11,428999978,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Low,Murderer,Drums And Guns,Subpop Record Group,2007,USSUB0673612,12,429000255,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
POLIÇA,Leading To Death,Give You The Ghost,mom+pop music,2012,USNY91112311,13,429000610,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
HALEY,Walk Among the Dead,Hunca Munca,Graveface Records,2023,QMDA72311674,14,429000782,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Jeremy Messersmith,"A Girl, a Boy, and a Graveyard",The Reluctant Graveyard,Cristal records,2011,USTCE1028967,15,429000982,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Humbird,Ghost on the Porch,Right On,Nettwerk Music Group,2024,CAN112400317,16,429001678,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Jeff Ray,Dead Rising,Blue Mara,Peace Stream Records,2009,USHM80981293,17,429001850,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Charlie Parr,Otis Meets the Devil,Devil Music,House of Mercy Recordings,2016,USCGH1661677,18,429002257,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Mark Mallman,Seen My Own Ghost,Magic Time,Hygh Tension Records,2025,USA2P2406301,19,429002577,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Graveyard Club,Skull & Crossbones,Nightingale,Graveyard Club,2014,USHM91405300,20,429002775,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Zoo Animal,Gravedigger,Gravedigger,Waxploitation Records,2019,USHM20874863,21,429002988,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Good Morning Bedlam,Vampire Girl,Vampire Girl,Bedlam Records,2023,QZK6F2338471,22,429003226,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Gospel Machine,Walkin' With the Dead,Your Holy Ghost,Gospel Machine,2015,QM4VM1500006,23,429003489,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
Mike Schpitz,O Penny Ons,Have You Seen My Stapler?,Fantastic Sound,2012,QZAPG1872358,24,429004032,21449472,WDSE 1033 The North,"Oct 29, 2025",https://spinitron.com/WDSE/pl/21449472/
she's green,Willow,Willow,Photo Finish Records,2025,QZ47A2500102,1,429689386,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Emily Haavik,Take Your Time,Take Your Time,3548265 Records DK2,2025,QT3F42560467,2,429689644,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
The Latelys,Change My Name,Waiting for You,DISTROKID,2019,QZHN71909225,3,429689821,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Chastity Brown,Colorado,Silhouette of Sirens,Red House Records,2017,USRHR1729808,4,429690020,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Toby Thomas Churchill,Belong,Death,Toby Thomas Churchill,2011,USX9P1166949,5,429690411,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Kaylee Matuszak,Any Port in a Storm,Leading Lady,Kaylee Matuszak,2024,USHM82410063,6,429690843,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
José James,Trouble,No Beginning No End,"Universal Music, a division of Universal International Music BV",2013,USBN21200764,7,429691499,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
The Jayhawks,Think About It,Sound Of Lies,American Recordings Catalog P&D,2013,USSM19605663,8,429691869,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Breanne Marie & the Front Porch Sinners,Dashboard Dandelion,Dashboard Dandelion,Breanne Marie & the Front Porch Sinners,2025,USDY42581091,9,429692294,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Amy Abts,Lit,IRL,Another Three Chord Production,2025,QZMHK2568051,10,429692506,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Alex Crankshaft Larson,Made to Race,Tied to the World Behind Me,Self,2015,TCACI1531611,11,429692845,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Boss Mama & the Jebberhooch,Down and Out Blues,Greetings From the Barnyard Lounge,,2024,usdy42457845,12,429693664,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Dead Man Winter,Weight of the World,Furnace,Gndwire Records,2017,USW2Z1600112,13,429694164,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
The Cactus Blossoms,Lonely Heart,One Day,Walkie Talkie Records,2022,USA2B2104005,14,429694659,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Your Smith,Change of Heart,Change of Heart,Nettwerk Music Group,2025,CAN112402530,15,429694980,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Velvet Negroni,WINE GREEN,WINE GREEN,4AD,2019,GBAFL1900024,16,429695237,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Gully Boys,Mother,Mother,Smartpunk Records,2025,QZ5F42500044,17,429695528,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
The Wonsers,Slip,"1,000 Things",Get A Wick Records,2006,US4ED9910502,18,429695877,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Cloud Cult,Help,"Minnesota Beatle Project, Vol. 3",Vega Productions,2011,USW2Z1100285,19,429696331,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Rogue Valley,English Ivy,Crater Lake,Self-released,2010,USCGH1067695,20,429696578,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Mike Munson,Kansas City Lightning,Kansas City Lightning,Liatris Records,2025,QMCQP2500001,21,429696778,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Germaine Gemberling,Woodsmoke,Generator,,2013,ushm91629985,22,429697047,21484248,WDSE 1033 The North,"Nov 5, 2025",https://spinitron.com/WDSE/pl/21484248/
Marc Gartband,Over the Moon,Over the Moon,Marc Gartband,2025,USDY42577005,1,430382203,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Red Mountain,Put Me Through,Scowl Lightly,Chaperone Records,2013,QMKRM1400009,2,430382477,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Alan Sparhawk,Get Still,Get Still,Sub Pop Records,2024,USSUB2465501,3,430382722,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Ross Thorn,Pick-A-Dee-Day,Fitting In,Ross Thorn / Casa De Copas,2025,QZWDD2598092,4,430383131,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Anna Stine,Porch Swing,Company of Now,Anna Stine,2018,QZEG51800003,5,430383348,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
The Lowest Pair,In The During Of A Moment,The Sacred Heart Sessions,Team Love Records,2015,US58B1507907,6,430383624,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Mara Lovejoy,Heroes?,Liminal,6915590 Records DK,2024,QZK6N2405515,7,430384173,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
The Brushstrokes,Stop Me Now - Live,This is How the World Will End,Wonderbuzz Records,2010,USHM21015108,8,430384398,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Dessa,Camelot,Camelot,Doomtree Records,2025,QZZ782555737,9,430384893,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Poliça,Wound Up,Dreams Go,Memphis Industries,2025,GBCSG2500039,10,430385083,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Bad Bad Hats,Only Static,Walkman,Don Giovanni Records,2021,USA2B2100852,11,430385317,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
The Gated Community,All Wrong,Goodbye Work,The Gated Community,2025,USHM22568413,12,430385622,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Henry Bullard,Strange Way (Dub),Strange Way (Dub),French River Records,2025,QZNWT2555418,13,430386319,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Ipso Facto,Burnin',Welcome To Jamerica,Narnian Records,2007,USSYN9957159,14,430386704,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Dred I Dread,Travelling Soldier,Listen to the Revolution,3875739 Records DK,1999,QZHN72228448,15,430386962,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Boss Mama & the Jebberhooch,Lonesome Rooster Blues,Greetings From the Barnyard Lounge,,2024,usdy42457842,16,430387806,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Chuck Bernard & The Satellite Band,Wasted,Instrumentals Soul Style - Kinda Groovy,History Of Soul,2016,GBHLW1601291,17,430388280,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Between Howls,Cowboy Killers,Cabin Fever,Telesuse Song,2025,QZHN82551115,18,430388623,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
S3RA,the difference,the difference,Number Five Records,2022,QZDA72285831,19,430388862,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Maygen & The Birdwatcher,Elizabeth,Elizabeth,Missing Piece Records,2025,QMBZ92521686,20,430389216,21519304,WDSE 1033 The North,"Nov 12, 2025",https://spinitron.com/WDSE/pl/21519304/
Jonny Lang,Wisdom,Signs,Concord Records,2017,USC4R1706053,1,431076400,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
The Big Wu,"Man Smart, Woman Smarter",Live at the Fitzgerald Theater,Oarfin Records,2001,,2,431076708,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
UnderStudy,Thunderbird,Thunderbird,infinity,2019,QZES51997885,3,431077179,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Sonny Knight & The Lakers,"Baby, Baby, Baby",I'm Still Here,Secret Stash Records,2014,FR6V82334422,4,431077446,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Mary Bue,Insider,The World Is Your Lover,Mary Bue,2020,ushm22016216,5,431078121,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Teague Alexy,The Only Man in Love,The Only Man in Love,Effervescent#9,2024,USHM92495816,6,431079646,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
The Penny Peaches,Ready To Die (One Mic Take),Ready To Die (One Mic Take),The Penny Peaches,2025,QT23N2400012,7,431080517,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
John Gorka,She’s That Kind of Mystery,Bright Side of Down,Red House Records,2014,USRHR1427105,8,431080794,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Shippee,Garden of Love,It All Started from a Whisper,Shippee,2022,USHM22276104,9,431081131,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Jeff Ray,Sleeping Dogs,Just,Peace Stream,2025,USDY42574168,10,431081309,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Dana Thompson,Empty,Ox,Dana Thompson,2004,USHM90758395,11,431081588,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Amy Abts,Weird,Weird,Another Three Chord Production,2024,QZS662414258,12,431082437,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Sara Thomsen,By Breath,By Breath,Sara Thomsen,2003,USCGH0639441,13,431082798,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
The Immaculate Beings,Call Me.,Mental Space.,,2020,usl4r1946091,14,431083449,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Mae Simpson,Half Like A Shadow,Chandelier & Bloom,DISTROKID,2023,QZNWR2370833,15,431083724,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Nolen Sellwood,Going for the Sun,Otherwise,New Folk Records,2023,USY252200318,16,431083907,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Slape,Old Head,Old Head,Umlot Records,2025,QZTB82556107,17,431084126,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
The Thirsty Giants,Meat Meat Meat (Live),Southern Minnesota Discomfort: TG Live,TTG,2025,QZNWR2556140,18,431084318,21554176,WDSE 1033 The North,"Nov 19, 2025",https://spinitron.com/WDSE/pl/21554176/
Trampled By Turtles,November,Duluth,Banjodad Records,2010,USX6D0800001,1,431758158,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Ingeborg von Agassiz,Over the River and Through the Wood,Over the River and Through the Wood,Ingeborg von Agassiz,2024,QZT8F2400001,2,431758395,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Motion City Soundtrack,She Is Afraid,She Is Afraid,Epitaph,2025,USEP42518002,3,431758672,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Grant Hart,You're the Reflection of the Moon on the Water,Hot Wax,CON D'OR RECORDS,2009,USY250921678,4,431759132,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Emily Haavik,Take Your Time,Take Your Time,3548265 Records DK2,2025,QT3F42560467,5,431759578,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Glen's Neighbor,Hard Day Duluth,Behind the Door,Glen's Neighbor,2015,USHM21524324,6,431759745,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Gary Louris,Dead Porcupine,Dark Country,SHAM,2025,QMBZ92485846,7,431760067,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Four Tops,Ask The Lonely,Four Tops,Motown,2000,USMO10119989,8,431760411,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Chuck Bernard & The Satellite Band,Wasted,Instrumentals Soul Style - Kinda Groovy,History Of Soul,2016,GBHLW1601291,9,431760435,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
WILD HORSES,When I Was Younger,When I Was Younger,DISTROKID,2025,QZWFE2584096,10,431760448,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Feeding Leroy,Love Is a Gamble,Love Is a Gamble,Feeding Leroy,2015,USCGH1679018,11,431761170,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
The Hobo Nephews of Uncle Frank,Lamp Lighting Time,One for the Time Capsule,Consider It Correspondence,2008,USHM90802251,12,431761483,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Gavin St. Clair,Who’s That?,Rollin It Back,Gavin St. Clair,2023,TCAGS2232847,13,431761686,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Bizhiki,Gigawaabamin (Come Through),Gigawaabamin (Come Through),Jagjaguwar,2024,US38Y2346509,14,431762399,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Hoopsnakes,Further Down This Road,Ten the Hard Way,Mouthpiece,1995,,15,431762898,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
American Scarecrows,All She Can Say,Yesteryear,American Scarecrows,2014,TCABX1476386,16,431763339,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Rudi and the Rain Dearz,Santa's New Bag,"Santa's Funk & Soul Christmas Party, Vol. 3",Tramp Records,2015,DELO20910873,17,431763639,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Ross Thorn,Gravedigger's Son (Spooky Version),Gravedigger's Son (Spooky Version),Ross Thorn / Casa De Copas,2025,QZZ8B2545329,18,431763649,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
The Cuckoo Bees,Humblin' Cold,Weeping Willow,The Cuckoo Bees,2018,QZ6ZB1800007,19,431763978,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Dessa,Camelot,Camelot,Doomtree Records,2025,QZZ782555737,20,431764263,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Space Carpet,Catalyst,Space Carpet,Space Carpet,2015,QM5QQ1500008,21,431764478,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Nur-D,Get That Money,CHUNKADELIC,DISTROKID,2025,QZTBF2535225,22,431764672,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Sam Miltich & the Clearwater Hot Club,I Love You for Sentimental Reasons,"Just You, Just Me",Clearwater Hot Club Productions,2008,USHM80893604,23,431764901,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Dan Wilson,Someone Like You,Someone Like You,Ballroom Music / Big Deal Media,2017,US8JU1700009,24,431765436,21588489,WDSE 1033 The North,"Nov 26, 2025",https://spinitron.com/WDSE/pl/21588489/
Sadkin,Oubliette,Carrera,WorldSound,2023,QZ3KJ2000027,1,432434360,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Alan Sparhawk,Station,"White Roses, My God",Sub Pop Records,2024,USSUB2465509,2,432434685,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
J.E. Sunde,Your Love Leaves a Mark on Me,9 Songs About Love,Vietnam,2020,QZK6P2056821,3,432435057,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Erik Koskinen,Red Dress Girl,Cruising Paradise,Real Phonic Records,2017,QMEU31721589,4,432435359,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Colleen Myhre,Sexy Laundry,Boss Mama,Colleen Myhre,2019,USHM81947177,5,432435690,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
The Alrights,City Underground,High School,City Canyons Records,2006,USHM80665025,6,432436111,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Life Parade,End of the Line,Suburban Life,Life Parade,2019,QMAAK1947080,7,432436455,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Communist Daughter,The Lady Is An Arsonist,Soundtrack To The End,Grain Belt Records,2010,US6SS1000001,8,432436749,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Saltydog,Cindy Drives the Bus,Pepper,DISTROKID,2024,QZBLV1800055,9,432437136,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Black Market Brass,Pocket Baby,Cheat and Start a Fight,Secret Stash Records,2016,FR96X1684115,10,432437419,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Gully Boys,Big Boobs (ft. Zora),Gully Boys,Smartpunk Records,2025,QZ5F42500060,11,432438611,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Sister Species,Magnolia Buds,Light Exchanges,Aura Vortex,2020,QZDA62008444,12,432439152,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Poliça,Carlines,Dreams Go,Memphis Industries,2025,GBCSG2500038,13,432439408,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Lunch Duchess,Been a Month,How It Ends,Lunch Duchess,2022,ushm22259177,14,432439746,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Rick McLean,Fire Age,Zoom Out & Breathe,904860 Records DK,2025,QZPLS2526766,15,432440171,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
The Tisdales,We're the Ones,Bakers Dozen,SMA Records,2008,ushm90895028,16,432440597,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Henry Bullard,Miss Lovely,Lake Monster Collective EP,The Weight Room,2025,QZNWT2589747,17,432440792,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
the Dukes of Hubbard,Tommy and the Bear,Planet Reid,the Dukes of Hubbard,2003,USHM20422971,18,432441482,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Ian Alexy,Move Like Water,Move Like Water,Ian Alexy,2025,USX9P2513355,19,432441939,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Lila Downs,Shake Away,Shake Away,Manhattan Records,2008,USMR80800084,20,432442155,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Humbird,Song for the Seeds,Song for the Seeds,Nettwerk Music Group,2024,CAN112400320,21,432442402,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Highway 59,Karaoke Cowboy,Lead Me Not Into Temptation,Highway 59,2010,USHM91053131,22,432442647,21622556,WDSE 1033 The North,"Dec 3, 2025",https://spinitron.com/WDSE/pl/21622556/
Lyla Abukhodair,I Don't Really Care,I Don't Really Care,Lyla Abukhodair,2022,QZES72207562,1,433140456,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Bully,Trash,Feels Like,SME,2015,USSM11500308,2,433140727,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Black Eyed Snakes,Mama Knows What The Baby Wants,Treasure Chest,Various Artists,2006,USX9P0674182,3,433141149,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Shannon Curfman,True Friends,"Loud Guitars, Big Suspicions",SME,1999,USAR19900333,4,433141459,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Low,(That's How You Sing) Amazing Grace,Trust,kranky,2002,USI4R0401939,5,433142162,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Mason Jennings,Brand New Old Friend,Always Been,Stats and Brackets,2013,QMDGW1300008,6,433142652,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Between Howls,Tonic & Gin,Cabin Fever,Telesuse Song,2025,QZHN82551109,7,433142990,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Cloud Cult,Chemicals Collide,The Meaning of 8,DISTROKID,2007,US7860788883,8,433143353,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Reina del Cid,Blue Sky Armageddon,Morse Code,Reina del Cid,2019,TCAEL1955790,9,433143600,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Charlie Parr,Portland Avenue,Portland Avenue,Smithsonian Folkways Recordings,2024,USSF12326201,10,433144040,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Social Animals,Cold,Formative Years,Folsom Records,2016,TCACQ1658515,11,433144391,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Teague Alexy,5 Foot,5 Foot,Effervescent#9,2024,USHM92403294,12,433145044,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Robin Hood Was Right,Falling into Pieces,Robin Hood Was Right,Robin Hood Was Right,2023,USX9P2307152,13,433145753,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
Lazerbeak,Tease Business,Seeing Friends,Doomtree Records,2025,QT3F32597512,14,433145961,21657220,WDSE 1033 The North,"Dec 10, 2025",https://spinitron.com/WDSE/pl/21657220/
